,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group
4506,592,2182164,76,78.0,sands,sand,89,sand,sediment_clastic,sediment
4507,592,2182164,78,80.0,sands,sand,89,sand,sediment_clastic,sediment
4508,592,2182164,80,82.0,sands,sand,89,sand,sediment_clastic,sediment
4509,592,2182164,82,84.0,sands,sand,89,sand,sediment_clastic,sediment
4510,592,2182164,84,86.0,sands,sand,89,sand,sediment_clastic,sediment
4511,592,2182164,86,88.0,sands,sand,89,sand,sediment_clastic,sediment
4512,592,2182164,88,90.0,sands,sand,89,sand,sediment_clastic,sediment
4513,592,2182164,90,92.0,sands,sand,89,sand,sediment_clastic,sediment
4514,592,2182164,92,94.0,sands,sand,89,sand,sediment_clastic,sediment
4515,592,2182164,94,96.0,sands,sand,89,sand,sediment_clastic,sediment
4516,592,2182164,96,98.0,sands,sand,89,sand,sediment_clastic,sediment
4517,592,2182164,98,100.0,sands,sand,89,sand,sediment_clastic,sediment
4518,592,2182164,100,102.0,sands,sand,89,sand,sediment_clastic,sediment
4519,592,2182164,102,104.0,sands,sand,89,sand,sediment_clastic,sediment
4520,592,2182164,104,106.0,sands,sand,89,sand,sediment_clastic,sediment
4521,592,2182164,106,108.0,sands,sand,89,sand,sediment_clastic,sediment
4522,592,2182164,108,110.0,sands,sand,89,sand,sediment_clastic,sediment
4523,592,2182164,110,112.0,sands,sand,89,sand,sediment_clastic,sediment
4524,592,2182164,112,114.0,sands,sand,89,sand,sediment_clastic,sediment
4525,592,2182164,114,116.0,sands,sand,89,sand,sediment_clastic,sediment
4526,592,2182164,116,118.0,sands,sand,89,sand,sediment_clastic,sediment
4527,592,2182164,120,122.0,the pyrite seems to have replaced lignite,lignite,101,lignite,organic_rich,sedimentary_rock
