,Company_ID,CollarID,Fromdepth,Todepth,Comment,CET_Comment,Comment_Score,detailed_lithology,lithology_subgroup,lithology_group,Unnamed: 10,Lithologies,Scores
1391,592,2181797,15,15.9,WT clays with 10% sub-rounded pisolitic maghem and hem. Broken and friable,mud,100,mud,sediment_clastic,sediment,,"mud, pisolith, marble, tonalite","101, 100, 62, 55"
1392,592,2181797,15,17.82,WT/L BN clays with 5% pisolitic maghemite. Mody competent and friable,mud,100,mud,sediment_clastic,sediment,,"mud, pisolith, marble","101, 100, 62"
1393,592,2181797,17,22.92,Mottled WT/RB/OG clay with 15% piso maghem and hem.  Mody competent and friable,mud,100,mud,sediment_clastic,sediment,,"mud, marble, soil, serpentinite","101, 62, 56, 47"
1394,592,2181797,22,26.0,Increasing ratio approx 50% and diametre up to 40mm of maghem and hem pisolites in a WT clay matrix,mud,100,mud,sediment_clastic,sediment,,"mud, migmatite, agate, mineralisation","101, 71, 55, 49"
1395,592,2181797,26,26.93,Increasing rock competency. Unbroken strongly consolidated maghem and hem pisos in WT/L BN ferruginous clay matrix,mud,100,mud,sediment_clastic,sediment,,"mud, dolostone","101, 34"
1396,592,2181797,26,29.8,Maghem pisos and hematitic masses/lenses strongly cemented by a L BN ferrug clay matrix. Minor clay vugs and fracture fill.,fill,101,fill,artificial_man_made_ground,surficial_rock,,"fill, mud, magnesite_stone","101, 100, 57"
1397,592,2181797,29,34.05,Mottled WT/BN/RB clay dominant interval with hematitic and goethitic pisos/masss,mud,100,mud,sediment_clastic,sediment,,"mud, pegmatite, iron_mudstone","100, 67, 54"
1398,592,2181797,34,34.84,Goethite lenses/masses in WT clay. Highly broken and friable. Weak piso texture present,mud,100,mud,sediment_clastic,sediment,,"mud, hornblendite","100, 41"
1399,592,2181797,34,37.8,L BN clay vugs/masses supported in a goethitic hardcappish texture. Moderately competent and friable. Weak piso texture present,mud,100,mud,sediment_clastic,sediment,,"mud, hornblendite","100, 41"
1400,592,2181797,37,39.12,Similar to above though more competent and showing a clearer pisolitic texture within broken clay-dominant horizons. Pisos goethite.,mud,100,mud,sediment_clastic,sediment,,"pisolith, mud, complex","100, 55, 44"
1401,592,2181797,39,41.13,Very hard competent RB to D RB goethitic hardcap. Pisolitic texture destroyed. Weakly vuggy towards base,pisolith,100,pisolith,residual_deposit,surficial_rock,,"pisolith, cokeite","100, 53"
1402,592,2181797,41,42.25,Sub-rounded goethitic pisos/fragments up to 25mm strongly consolidated in a L BN and WT clay,mud,101,mud,sediment_clastic,sediment,,"mud, mudstone, ironstone","101, 51, 47"
1403,592,2181797,42,44.05,More hardcap texture. Goethitic pisolitic horizons just discernible. Clay vugs include mm-scale maghemite pisos.,mud,100,mud,sediment_clastic,sediment,,mud,100
1404,592,2181797,44,45.3,More broken interval of goethitic hardcap and WT to RD clay filled fractures and cavities. Pisolitic texture barely discernible,mud,100,mud,sediment_clastic,sediment,,"mud, pisolith, waste, iron_gravel","100, 100, 57, 50"
1405,592,2181797,45,49.22,Similar to above with remnant bedding discernible though highly disrupted. Still goethitic with ?transported pale clay cavity fill,fill,101,fill,artificial_man_made_ground,surficial_rock,,"exotic_crystalline_igneous_rock, fill, mud, volcaniclastic_siltstone","101, 101, 55, 32"
